InputID,TargetID,Distance
60001412100,"0407100073",5035.3216293607
60001412103,"0407100073",3560.07399419281
60001412171,"0407100073",4563.59455463957
60001412333,"0407100073",4897.28270531268
60001412375,"0407100073",5181.08326470563
60001412415,"0407100073",4859.39322161733
60001412417,"0407100073",5588.76848957631
60001503907,"0407100115",10227.215130985
60001506466,"0407100115",10227.215130985
60001509083,"0407100115",6627.43102954331
60001509084,"0407100115",7657.49242732838
60001510305,"0407100115",7657.49242732838
60001511860,"0407720657",68590.8004577181
60001609085,"0407100017",6520.75884912281
60001609086,"0403705460",7296.9096161138
60001609087,"0403705460",6882.1757155281
60001609088,"0403705460",5540.99139138261
60001609089,"0407100017",6744.35908144185
60001609090,"0407100080",7240.01474180828
60001609091,"0403705460",7584.78560622652
60001609092,"0403705460",7995.55163144362
60001609093,"0407100080",8516.30921225705
60001609094,"0403705460",6673.83919031762
60001609095,"0407100080",7473.05891982147
60001609096,"0407100080",7473.05891982147
60001609097,"0403705460",8168.6875834941
60001609678,"0403705460",6825.82705052567
60001701149,"0407100073",12504.4632769267
60001705167,"0407100115",18359.991914893
60001707296,"0407100073",14761.271005269
60001708297,"0407100115",16198.7779164791
60001708588,"0407100073",16004.8202086595
60001709098,"0407100073",14430.9464445381
60001709099,"0407100073",15892.5103821361
60001709100,"0407100073",13596.5917872802
60001709101,"0407100073",18020.7868723364
60001709102,"0407100073",15923.5245702298
60001709103,"0407100073",14903.8457942911
60001709272,"0407100073",13523.5702759695
60001711122,"0407100115",15087.8733379262
60001711747,"0407100073",11917.6697084253
60001712663,"0407100073",17374.5907465222
60001808418,"0410320252",84208.2414254219
60001809106,"0402320025",78612.8594497998
60001809107,"0410320252",83038.4315802122
60001809108,"0410320252",76596.4372838484
60001809109,"0402320025",58377.0575242221
60001906929,"0400100007",1296.90762303061
60001908443,"0400100007",5827.40851293305
60001909273,"0400100007",2314.42633534332
60001909274,"0400100007",2807.40352255344
60001909275,"0400100007",2533.35925001142
60001909276,"0400100007",1567.8424351412
60001909278,"0400100007",2955.83564376613
60001912078,"0400100007",7824.92648601001
60001912927,"0400100007",8099.45602537873
60001913169,"0400100007",7448.74687138627
60002006951,"0400100007",8493.78002698143
60002008444,"0400100007",5939.64755909135
60002008445,"0400100007",9448.53816287959
60002009279,"0400100007",5985.05096449812
60002009280,"0400100007",9726.6495002797
60002009282,"0400100007",8856.60822411081
60002009283,"0400100007",5295.76670254134
60002009284,"0400100007",4969.24176004281
60002009285,"0400100007",8655.19340844501
60002009286,"0400100007",7329.46204320355
60002009287,"0400100007",10135.1721969123
60002009288,"0400100007",7684.6107091662
