GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6023010901,402320090,6.14E+10,South Fortuna Elementary,e,NA,NA,442,NA,NA,NA,NA,NA,NA,3829.999,12565.61,0.7505494,0.005054945,0.01626374,0.2527473,0.847281,0.1276457,NA,0.1941507,0.7728938
6023010901,402300035,6.01E+10,South Fortuna Elementary School,e,3,0.836,NA,0.380697,0.00536193,0.517426,0.0134048,0.0455764,0.0375335,3809.632,12498.79,0.7505494,0.005054945,0.01626374,0.2527473,0.847281,0.1276457,NA,0.1941507,0.7728938
6023010901,402320031,63333005171,Norman G. Ambrosini Elementary,e,NA,NA,260,NA,NA,NA,NA,NA,NA,3556.219,11667.38,0.7505494,0.005054945,0.01626374,0.2527473,0.847281,0.1276457,NA,0.1941507,0.7728938
6023010902,402300071,6.18E+10,Hydesville Elementary School,"e,m",7,0.293,156,0.856322,NA,0.0862069,0.0172414,0.00574713,0.0114943,1252.707,4109.931,0.911757,0,0.007593611,0.03692066,0.8887677,0.2071974,NA,0.1204504,0.725
6023010902,402300072,6.20E+10,Kneeland Elementary School,"e,m",6,0.294,30,0.882353,NA,NA,0.0882353,0.0294118,NA,17610.32,57776.63,0.911757,0,0.007593611,0.03692066,0.8887677,0.2071974,NA,0.1204504,0.725
6023010902,402300072,6.10E+10,Cuddeback Elementary School,"e,m",5,0.496,130,0.773109,NA,0.0840336,0.00840336,0.0420168,0.0672269,4661.121,15292.39,0.911757,0,0.007593611,0.03692066,0.8887677,0.2071974,NA,0.1204504,0.725
6023010902,402300068,6.06E+10,Bridgeville Elementary School,"e,m",NA,0.619,40,0.833333,NA,0.119048,NA,0.047619,NA,8759.031,28736.98,0.911757,0,0.007593611,0.03692066,0.8887677,0.2071974,NA,0.1204504,0.725
6023011000,402320018,63333005172,Toddy Thomas Elementary,"e,m",NA,NA,319,NA,NA,NA,NA,NA,NA,2404.925,7890.173,0.8738663,0.007171483,0.01476482,0.1233917,0.8680251,0.1438871,NA,0.1138572,0.640625
6023011000,402320018,63333012857,Redwood Preparatory Charter,"e,m",NA,NA,101,NA,NA,NA,NA,NA,NA,2748.532,9017.495,0.8738663,0.007171483,0.01476482,0.1233917,0.8680251,0.1438871,NA,0.1138572,0.640625
6023011000,402320018,60142012857,Redwood Prepatory Charter School,"e,m",NA,0.272,NA,0.848101,0.00632911,0.139241,NA,NA,0.00632911,2743.034,8999.455,0.8738663,0.007171483,0.01476482,0.1233917,0.8680251,0.1438871,NA,0.1138572,0.640625
