Year, Month, Monthly MRSL in meters
1958,10,-0.045
1958,11,-0.082
1958,12,-0.124
1959,1,-0.095
1959,2,-0.17
1959,3,-0.116
1959,4,-0.094
1959,5,-0.149
1959,6,-0.096
1959,7,-0.167
1959,8,-0.082
1959,9,-0.097
1959,10,-0.07
1959,11,-0.122
1959,12,-0.057
1960,1,-0.007
1960,2,0.062
1960,3,0.012
1960,4,-0.048
1960,5,-0.012
1960,6,-0.023
1960,7,-0.046
1960,8,-0.039
1960,9,-0.052
1960,10,-0.042
1960,11,-0.082
1960,12,-0.088
1961,1,-0.068
1961,2,-0.033
1961,3,0.003
1961,4,0.068
1961,5,-0.043
1961,6,-0.09
1961,7,-0.055
1961,8,-0.091
1961,9,-0.061
1961,10,-0.009
1961,11,-0.021
1961,12,-0.03
1962,1,-0.15
1962,2,-0.07
1962,3,0.03
1962,4,-0.097
1962,5,-0.076
1962,6,-0.078
1962,7,-0.055
1962,8,-0.061
1962,9,-0.049
1962,10,-0.021
1962,11,-0.04
1962,12,-0.024
1963,1,-0.074
1963,2,-0.152
1963,3,-0.08
1963,4,-0.072
1963,5,-0.116
1963,6,-0.102
1963,7,-0.064
1963,8,-0.082
1963,9,-0.061
1963,10,-0.085
1963,11,0.024
1963,12,-0.097
1964,1,-0.025
1964,2,-0.033
1964,3,-0.046
1964,4,-0.173
1964,5,-0.085
1964,6,-0.105
1964,7,-0.094
1964,8,-0.073
1964,9,-0.07
1964,10,-0.061
1964,11,-0.04
1964,12,-0.085
1965,1,-0.062
1965,2,-0.055
1965,3,-0.086
1965,4,-0.06
1965,5,-0.079
1965,6,-0.072
1965,7,-0.079
1965,8,-0.1
1965,9,-0.11
1965,10,-0.07
1965,11,-0.058
1965,12,-0.051
1966,1,0.033
1966,2,-0.042
1966,3,-0.043
1966,4,-0.066
1966,5,-0.091
1966,6,-0.096
1966,7,-0.039
1966,8,-0.073
1966,9,-0.03
1966,10,-0.122
1966,11,-0.1
1966,12,-0.079
1967,1,-0.016
1967,2,-0.073
1967,3,-0.064
1967,4,0.001
1967,5,0.003
1967,6,-0.063
1967,7,-0.049
1967,8,-0.07
1967,9,-0.058
1967,10,-0.1
1967,11,-0.088
1967,12,-0.012
1968,1,-0.111
1968,2,-0.049
1968,3,-0.052
1968,4,-0.087
1968,5,-0.027
1968,6,-0.008
1968,7,-0.067
1968,8,-0.07
1968,9,-0.07
1968,10,-0.088
1968,11,0.009
1968,12,-0.048
1969,1,-0.117
1969,2,0.059
1969,3,-0.004
1969,4,-0.075
1969,5,-0.094
1969,6,-0.063
1969,7,-0.039
1969,8,-0.03
1969,9,0.012
1969,10,0.049
1969,11,0.098
1969,12,0.074
1970,1,0.014
1970,2,-0.03
1970,3,-0.034
1970,4,-0.03
1970,5,-0.097
1970,6,-0.066
1970,7,-0.076
1970,8,-0.033
1970,9,-0.052
1970,10,-0.07
1970,11,0.021
1970,12,0.08
1971,1,-0.001
1971,2,-0.024
1971,3,0.003
1971,4,0.004
1971,5,-0.003
1971,6,-0.044
1971,7,-0.073
1971,8,-0.07
1971,9,-0.055
1971,10,0.006
1971,11,0.073
1971,12,-0.021
1972,1,-0.05
1972,2,-0.003
1972,3,0.033
1972,4,0.019
1972,5,0.018
1972,6,0.017
1972,7,-0.012
1972,8,-0.039
1972,9,0.006
1972,10,-0.048
1972,11,0.055
1972,12,0.046
1973,1,0.027
1973,2,0.023
1973,3,0.048
1973,4,0.037
1973,5,0.015
1973,6,-0.032
1973,7,0.028
1973,8,0.025
1973,9,-0.012
1973,10,-0.045
1973,11,-0.067
1973,12,-0.027
1974,1,-0.019
1974,2,-0.018
1974,3,-0.074
1974,4,-0.033
1974,5,-0.021
1974,6,-0.029
1974,7,-0.003
1974,8,-0.067
1974,9,-0.003
1974,10,-0.122
1974,11,-0.018
1974,12,-0.006
1975,1,-0.047
1975,2,-0.033
1975,3,-0.046
1975,4,-0.023
1975,5,-0.033
1975,6,-0.017
1975,7,-0.033
1975,8,-0.006
1975,9,-0.043
1975,10,0.012
1975,11,0.003
1975,12,-0.012
1976,1,-0.028
1976,2,-0.073
1976,3,-0.049
1976,4,-0.023
1976,5,-0.082
1976,6,-0.093
1976,7,-0.009
1976,8,-0.009
1976,9,-0.024
1976,10,-0.061
1976,11,-0.097
1976,12,-0.155
1977,1,-0.08
1977,2,-0.082
1977,3,-0.064
1977,4,-0.109
1977,5,-0.024
1977,6,0.014
1977,7,-0.064
1977,8,-0.055
1977,9,0.028
1977,10,0.003
1977,11,-0.018
1977,12,0.055
1978,1,0.005
1978,2,0.104
1978,3,-0.058
1978,4,0.007
1978,5,-0.021
1978,6,-0.066
1978,7,-0.051
1978,8,-0.033
1978,9,-0.021
1978,10,-0.057
1978,11,-0.039
1978,12,-0.043
1979,1,0.054
1979,2,-0.054
1979,3,-0.125
1979,4,-0.03
1979,5,-0.049
1979,6,-0.075
1979,7,-0.057
1979,8,-0.023
1979,9,-0.072
1979,10,-0.048
1979,11,-0.106
1979,12,-0.095
1980,1,-0.074
1980,2,-0.036
1980,3,-0.098
1980,4,-0.044
1980,5,0.002
1980,6,-0.045
1980,7,-0.049
1980,8,-0.051
1980,9,-0.069
1980,10,-0.045
1980,11,-0.049
1980,12,-0.118
1981,1,-0.123
1981,2,-0.119
1981,3,0.015
1981,4,-0.115
1981,5,-0.033
1981,6,-0.038
1981,7,-0.03
1981,8,-0.018
1981,9,0.018
1981,10,-0.073
